symbol,date,occurrences
BB,2021-02-03,41
BB,2021-02-04,40
BB,2021-02-05,40
BB,2021-02-06,39
BB,2021-02-07,57
BB,2021-02-08,9
BB,2021-02-09,2
BB,2021-02-10,31
BB,2021-02-11,18
BB,2021-02-12,10
BB,2021-02-13,12
BB,2021-02-14,12
BB,2021-02-15,3
BB,2021-02-16,3
BB,2021-02-17,3
BB,2021-02-18,5
BB,2021-02-19,5
BB,2021-02-20,5
BB,2021-02-21,2
BB,2021-02-22,2
BB,2021-02-23,2
BB,2021-02-24,17
BB,2021-02-25,21
BB,2021-02-26,15
BB,2021-02-27,5
BB,2021-03-01,10
BB,2021-03-02,2
BB,2021-03-03,6
BB,2021-03-04,5
BB,2021-03-05,12
BB,2021-03-06,15
BB,2021-03-07,5
BB,2021-03-08,2
BB,2021-03-09,26
BB,2021-03-10,2
BB,2021-03-11,5
BB,2021-03-12,1
BB,2021-03-13,8
BB,2021-03-15,2
BB,2021-03-16,20
BB,2021-03-18,11
BB,2021-03-19,5
BB,2021-03-24,10
BB,2021-03-26,1
BB,2021-03-27,1
BB,2021-03-28,2
BB,2021-03-29,1
BB,2021-03-30,3
BB,2021-03-31,4
BB,2021-04-01,2
BB,2021-04-02,5
BB,2021-04-06,1
BB,2021-04-07,11
BB,2021-04-09,21
BBW,2021-01-29,13
BBW,2021-01-30,1
BBY,2021-01-29,10
BBY,2021-02-01,3
BBY,2021-02-02,1
BBY,2021-02-06,7
BBY,2021-02-13,1
BBY,2021-03-29,1
BC,2021-01-29,4
BC,2021-02-03,1
BC,2021-02-05,2
BC,2021-02-09,1
BC,2021-02-17,1
BC,2021-02-20,1
BC,2021-02-23,3
BC,2021-02-25,2
BC,2021-03-09,1
BC,2021-03-11,1
BC,2021-03-30,1
BCX,2021-03-23,32
BCX,2021-03-25,54
BCX,2021-03-30,6
BE,2021-01-28,6
BE,2021-01-29,120
BE,2021-01-30,22
BE,2021-01-31,13
BE,2021-02-01,5
BE,2021-02-02,14
BE,2021-02-03,15
BE,2021-02-04,13
BE,2021-02-05,20
BE,2021-02-06,23
BE,2021-02-07,3
BE,2021-02-08,4
BE,2021-02-09,1
BE,2021-02-10,1
BE,2021-02-11,3
BE,2021-02-12,4
BE,2021-02-13,4
BE,2021-02-14,1
BE,2021-02-15,1
BE,2021-02-16,2
BE,2021-02-17,1
BE,2021-02-18,1
BE,2021-02-21,2
BE,2021-02-22,2
BE,2021-02-23,1
BE,2021-02-26,5
BE,2021-02-27,3
BE,2021-02-28,1
BE,2021-03-02,1
BE,2021-03-03,3
BE,2021-03-05,1
BE,2021-03-06,2
BE,2021-03-07,2
BE,2021-03-08,4
BE,2021-03-11,1
BE,2021-03-13,9
BE,2021-03-14,1
BE,2021-03-15,1
BE,2021-03-17,9
BE,2021-03-18,4
BE,2021-03-21,1
BE,2021-03-25,1
BE,2021-03-26,1
BE,2021-03-27,1
BE,2021-04-02,2
BE,2021-04-06,2
BE,2021-04-09,2
BEST,2021-01-29,9
BEST,2021-01-30,1
BEST,2021-01-31,1
BEST,2021-02-01,3
BEST,2021-02-02,2
BEST,2021-02-03,2
BEST,2021-02-04,2
BEST,2021-02-06,2
BEST,2021-02-08,1
BEST,2021-02-10,1
BEST,2021-02-28,1
BEST,2021-03-08,1
BEST,2021-03-11,1
BEST,2021-03-12,1
BEST,2021-04-01,1
BFLY,2021-02-17,6
BFLY,2021-04-05,11
BIG,2021-01-28,4
BIG,2021-01-29,34
BIG,2021-01-30,5
BIG,2021-01-31,2
BIG,2021-02-01,4
BIG,2021-02-02,5
BIG,2021-02-03,7
BIG,2021-02-04,5
BIG,2021-02-05,1
BIG,2021-02-06,6
BIG,2021-02-07,3
BIG,2021-02-08,1
BIG,2021-02-11,2
BIG,2021-02-12,1
BIG,2021-02-15,8
BIG,2021-02-17,1
BIG,2021-02-18,1
BIG,2021-02-22,1
BIG,2021-02-23,1
BIG,2021-02-26,8
BIG,2021-02-27,1
BIG,2021-03-01,4
BIG,2021-03-02,2
BIG,2021-03-03,3
BIG,2021-03-04,2
BIG,2021-03-05,2
BIG,2021-03-06,1
BIG,2021-03-08,1
BIG,2021-03-09,1
BIG,2021-03-10,1
BIG,2021-03-12,1
BIG,2021-03-14,1
BIG,2021-03-15,5
BIG,2021-03-16,3
BIG,2021-03-18,2
BIG,2021-03-20,1
BIG,2021-03-21,1
BIG,2021-03-23,1
BIG,2021-03-24,1
BIG,2021-03-26,1
BIG,2021-03-30,1
BIG,2021-04-01,1
BIG,2021-04-08,1
BIT,2021-01-29,3
BIT,2021-02-01,4
BIT,2021-02-02,1
BIT,2021-02-06,1
BIT,2021-02-11,1
BIT,2021-03-06,1
BIT,2021-03-10,1
BK,2021-01-28,3
BK,2021-01-29,2
BK,2021-02-18,11
BK,2021-02-27,3
BK,2021-02-28,1
BP,2021-01-29,1
BP,2021-01-30,1
BP,2021-02-05,1
BP,2021-02-06,1
BP,2021-02-09,5
BP,2021-02-11,1
BP,2021-02-12,1
BP,2021-02-13,1
BP,2021-02-15,2
BP,2021-02-16,6
BP,2021-02-22,1
BP,2021-02-23,1
BP,2021-02-24,1
BP,2021-03-04,2
BP,2021-03-06,8
BP,2021-03-07,3
BP,2021-03-09,1
BP,2021-03-13,1
BP,2021-03-30,2
BR,2021-02-16,1
BR,2021-03-16,9
BTI,2021-02-14,1
BTI,2021-03-21,18
BX,2021-02-03,2
BX,2021-02-10,1
