Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NG,Novagold Resources Inc.,$9.44,0.34,3.736%,3127766377.00,Canada,,725035,Basic Industries,Precious Metals
NGD,New Gold Inc.,$1.81,-0.01,-0.549%,1225150623.00,Canada,,4122231,Basic Industries,Precious Metals
NHC,National HealthCare Corporation Common Stock,$72.04,-0.89,-1.22%,1107923691.00,United States,,38547,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$13.05,0.13,1.006%,255004634.00,United States,,67873,,
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$4.27,0.04,0.946%,241933623.00,,2013,208231,,
NNVC,NanoViricides Inc. Common Stock,$4.61,0.26,5.977%,49220970.00,United States,,100908,Health Care,Major Pharmaceuticals
NOG,Northern Oil and Gas Inc. Common Stock,$12.25,0.37,3.114%,739428951.00,United States,,526593,,
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$4.69,0.05,1.078%,222401681.00,United States,2003,194328,,
NSPR,InspireMD Inc. Common Stock,$0.5517,-0.0269,-4.649%,65008039.00,Israel,,2997307,Health Care,Medical/Dental Instruments
NTIP,Network-1 Technologies Inc. Common Stock,$3.31,0.01,0.303%,79827697.00,United States,,7097,Miscellaneous,Multi-Sector Companies
NXE,Nexgen Energy Ltd. Common Shares,$3.76,-0.05,-1.312%,1764695535.00,,,1001397,Basic Industries,Precious Metals
OGEN,Oragenics Inc. Common Stock,$0.7639,-0.0161,-2.064%,83758670.00,United States,,2681204,Health Care,Major Pharmaceuticals
ORLA,Orla Mining Ltd. Common Shares,$3.77,-0.02,-0.528%,864408220.00,,2020,260038,Basic Industries,Precious Metals
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$29.66,-0.02,-0.067%,,United States,,1451,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$26.53,0.00,0.00%,,United States,,68,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$24.70,0.06,0.244%,,United States,,1560,,
